r, cx, cy
0.0, 0, 0.75
0.0, 1, 0.25
6.359660239728469, 2.052307692307692, 0.0584615384615379
12.719320479456938, 3.0916639053254436, 0.23312662721893496
19.078980719185406, 4.105276562585344, 0.5218455421028665
25.438640958913876, 5.0806704313826545, 0.9210648195455349
-25.438640958913876, 7.9193295686173455, 0.9210648195455349
-19.078980719185406, 8.894723437414656, 0.5218455421028665
-12.719320479456938, 9.908336094674556, 0.23312662721893496
-6.359660239728469, 10.947692307692307, 0.0584615384615379
0.0, 12, 0.25
0.0, 13, 0.75
0.0, 0, 1.75
0.0, 1, 1.25
7.152668749994702, 2.0583657587548636, 1.0661478599221788
14.305337499989404, 3.1002588986964223, 1.263561901012885
21.45800624998411, 4.1094631841835625, 1.5891695311928835
28.61067499997881, 5.070271155519984, 2.037902927424355
-28.61067499997881, 7.929728844480016, 2.037902927424355
-21.45800624998411, 8.890536815816438, 1.5891695311928835
-14.305337499989404, 9.899741101303578, 1.263561901012885
-7.152668749994702, 10.941634241245136, 1.0661478599221788
0.0, 12, 1.25
0.0, 13, 1.75
0.0, 0, 2.75
0.0, 1, 2.25
8.171233559949753, 2.065989847715736, 2.0761421319796955
16.342467119899506, 3.1103352315184623, 2.3030224947821374
24.513700679849258, 4.11183116899594, 2.6760343805331663
32.68493423979901, 5.050142717255227, 3.187603943836822
-32.68493423979901, 7.949857282744773, 3.187603943836822
-24.513700679849258, 8.888168831004059, 2.6760343805331663
-16.342467119899506, 9.889664768481538, 2.3030224947821374
-8.171233559949753, 10.934010152284264, 2.0761421319796955
0.0, 12, 2.25
0.0, 13, 2.75
19.054566762904713, 3.1220451843043997, 3.3561474435196192
28.581850144357066, 4.109689122145229, 3.7921253023904224
38.109133525809426, 5.011548532478605, 4.385561773609075
-38.109133525809426, 7.988451467521395, 4.385561773609075
-28.581850144357066, 8.89031087785477, 3.7921253023904224
-19.054566762904713, 9.8779548156956, 3.3561474435196192
